Initials ,Date ,course_id,time(m),summary
JDD,1/10/22,DS-160-01,25,updated anoconda
JDD,1/11/22,DS-160-01,15,updated python
JDD ,1/12/22,Math-116-01,10,registered ebook
JDD ,1/13/22,DS-160-01,30,read CH.2
JDD ,1/14/22,PHIL-01-07,90,annotations 
JDD ,1/15/22,Math-116-01,15,Started HW 1
JDD,1/16/22,DS-160-01,10,weekly check-in 
JDD,1/17/22,Math-116-01,15,finished HW 1 
JDD,1/18/22,Hist-116-03,42,medieval podcast 
JDD ,1/19/22,IDC-101-01,30,Book: Introduction
JDD,1/20/22,IDC-101-01,25,reflection 1
JDD,1/21/22,Math-116-01,120,Practice Problems
JDD,1/22/22,DS-160-01,45,read CH.3
JDD,1/23/22,PHIL-01-07,150,"Plato's ""The Apology"""
JDD,1/24/22,Math-116-01,45,HW 2
JDD,1/25/22,SOC-101-01,50,CH.1
JDD,1/26/22,SOC-101-01,118,Movie for class
JDD,1/27/22,Math-116-01,45,Practice Problems
JDD,1/27/22,SOC-101-01,30,Excerise #1
JDD,1/27/22,PHIL-01-07,80,The First Meditations
JDD,1/27/22,DS-160-01,60,NumPy Practice
JDD,1/27/22,SOC-101-01,45,Excerise #2
JDD,1/28/22,Math-116-01,30,Notes from 1/15
JDD,1/28/22,PHIL-01-07,45,Writing Assignment 1
JDD,1/28/22,IDC-101-01,30,Reflection 2
JDD,1/28/22,DS-160-01,50,1/28 Class Recording 
JDD,2/1/22,ISOLATION,NA,COVID
JDD,2/2/22,ISOLATION,NA,COVID
JDD,2/4/22,ISOLATION,NA,COVID
JDD,2/7/22,ISOLATION,NA,COVID
JDD,2/8/22,ISOLATION,NA,COVID
JDD,2/9/22,LIBR-B,45,Meeting
JDD,2/11/22,Teams,30,Meeting
JDD,2/22/22,Hist-116-03,30,Quiz 1
JDD,2/22/22,LIBR-B,30,SSA Team Meeting
JDD,2/23/22,SOC-101-01,75,Exam 1
JDD,2/24/22,DS-160-01,15,TP1 first encounter
JDD,3/4/22,DS-160-01,50,Work on TP1
JDD,3/7/22,PHIL-01-07,30,Writing Assignment 2
JDD,3/9/22,DS-160-01,145,Meeting with Naat
JDD,3/9/22,KOC,60,Group Discussion
JDD,3/10/22,DS-160-01,300,Work on TP1
JDD,3/11/22,DS-160-01,180,Work on TP1
JDD,3/12/22,DS-160-01,360,Work on TP1
JDD,3/14/22,LIBR-B,45,Meeting
JDD,3/15/22,PHIL-01-07,30,Writing Assignment 3
JDD,3/15/22,LIBR-B,45,Meeting
JDD,3/15/22,SOC-101-01,50,Movie for class
JDD,3/16/22,DS-160-01,350,Work on TP2
JDD,3/17/22,IDC-101-01,180,Group Discussion
JDD,3/19/22,DS-160-01,240,Work on TP2
JDD,3/20/22,DS-160-01,45,Work on TP2
